activity_id,community_id,title,description,recurrence_text,day_of_week,activity_date_text,start_time,end_time,schedule_notes,fee_collection,fee_text,fee_notes,venue_name,venue_notes,verification_status,source_updated_at,fetched_at
activity_52014156debe4f3e9bbdb841,community_0001575bfa3a7de1e359343e,上中里三丁目むつみクラブの活動,,,,,,,,,,,,上中里3丁目,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_2130a718f83582cf7dd237b4,community_000739d927a070ef897d5281,天空新聞制作委員会の活動,,,,,,,,,,,佃リバーシティ21自治会,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_df925329be29515c4dea31ad,community_001be0dbbfdaecabba536847,FC.KICKKERSの活動,サッカー、フットサル,,,,,,"主に利用する施設 活動日 活動時間 入会資格・要件 メール
東京学芸大学附属大泉小学校 土・日曜日 13:00〜15:00 東京学芸大学附属大泉小の在校生、卒業生の保護
者",,,,,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_729e43cf925205ce38b90e50,community_003c4d2312e9016f285e571c,鎌倉山かるた会千代田の活動,ゲーム,,,,,,,,,,九段;スポーツセンター,,official_source_unverified_current,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00
activity_a07302b26ef06a791b6dccd6,community_004d71a3aca825057ccb0202,T・T石神井の活動,卓球,,,,,,"主に利用する施設 活動日 活動時間 入会資格・要件 メール
石神井小学校 日曜日 12:00〜14:00 特になし",,,,,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_4dd07fa349fc5975fdd1794d,community_005c3cf36d6a37c77a349f88,旭丘クラブの活動,バレーボール,,,,,,"主に利用する施設 活動日 活動時間 入会資格・要件 メール
旭丘小学校 土曜日 17:00〜20:00 女性
[連絡先は審査中]",,,,,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_018acc611a5aec89240f9311,community_00656b730be821339bb830d2,石神井フラウエンコールの活動,女声合唱,,,,,,,,,,生涯学習センター分館,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_b20e3e4b9c012749a4182dbe,community_007132de39021ea4e9b7304a,くすのき 平井東長寿会の活動,,,,,,,,,,,平井コミュニティ会館 (平井4-18-10),,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_381b447bf4f6647b794b22c7,community_00976584c4cc025cdf266a3a,さくら倶楽部の活動,麻雀,,,,,,,,,,区民ひろば池袋本町,,official_source_unverified_current,2026-01-28T15:00:00,2026-08-23T08:47:26+00:00
activity_4947f7130769cb88e9c0c921,community_00bd9ad8b005d02bf86c0c69,かつしか点訳の会の活動,点訳を通じてボランティアとして活動,,,,,,,,,,,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_e61dd0d3506f41746ff4f558,community_00def979d6f093820efeb736,大田ギターアンサンブルの活動,クラシックギターの魅力は美しい音色にあります。生涯にわたりクラシックギターに親しみ、仲間と合奏する喜...,,,,,,,,,,,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_bdc91652f4e2349b89b140c2,community_00e44a2f0b6c954ca5dd6560,茶道 木槿の会の活動,茶華道,,,,,,,,,,九段;スポーツセンター,,official_source_unverified_current,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00
activity_f7623ce2b91c97b779ab1b9e,community_011b40a30a7643409042c4ab,パッチワーククラブ ハニービーの活動,パッチワーク・手芸,,金,,,,月2回 金曜日 午後,,,,谷中地区,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_e2c082fb104f650a9466c966,community_011d31a1bfdd68b7963aa931,吹奏楽サークル モルト アラルガンドの活動,吹奏楽サークル モルトアラルガンド 1.吹奏楽、音楽を通して、部員相互の 楽器演奏の技術向上や親睦...,,,,,,,,,,,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_a194e2f013cd82190e54584f,community_013fb1bf61a49ee527e0ccf7,若宮体操会の活動,運動器具を使った体操、ストレッチ、筋トレ,毎月第3水曜日13:30~14:30,,,,,,,,,若宮公園(本所2-2-19),,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_7b2e80b2403c37a9ff858d0e,community_0155be9d02b56f12e82245bd,練馬剣道研究会の活動,剣道,,,,,,"主に利用する施設 活動日 活動時間 入会資格・要件 メール
大泉第二中学校 月曜日 19:00〜21:00 特になし
[連絡先は審査中]",,,,,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_148ae3bd07d806d15a6078bc,community_01577ac7a36987ba77998ba7,楓スポーツクラブの活動,ストレッチ ダンスムーブメン,,,,,,"主に利用する施設 活動日 活動時間 入会資格・要件 メール
石神井台地域集会所 木曜日 11:00〜13:00 特になし",,,,,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_04e813037f36193bfe09403c,community_0157f29d49dcc2d2a5bfc740,練馬栄養士会の活動,区民のための食育事業。親子料理教室開催。,,,,,,,,,,石神井公園区民交流センター,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_4ad03a925c8b4fa021344b0f,community_01657b0ef7a545530061565d,成一自治会の活動,成一自治会では長く地域に密着した活動を続けています。防火、防災、防犯と地域の安全を守るために、会員の多くが活動しています。消防施設や機器類がすぐにつかえるように毎月第2 木曜日に点検しています。3 班...,,,,,,,,,,,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
activity_076bae6932b6927db0e9a4dd,community_01694a3b374e9dfe7f6bff82,ステップ・バイ・ステップの活動,英語学習(中級),,,,,,,,,,男女共同参画センターえーる,,official_source_unverified_current,,2026-08-23T08:47:26+00:00
