opportunity_id,ward_code,ward_name,title,genres,opportunity_type,verification_status,participation_mode,target_age_min,target_age_max,eligibility_evidence,description,venue_name,venue_address,latitude,longitude,official_url,source_classification,source_updated_at,fetched_at,venue_address_source_url,venue_address_match_status
young_af1083a30eefd2d0b1051b9d,131016,千代田区,F&Pカレント千代田,community_exchange,organization_or_club,official_directory_candidate,unknown,,,公式名簿掲載。一般成人の参加条件は要確認,地域社会・コミュニティ,九段;スポーツセンター,東京都千代田区九段南一丁目5-10 | 東京都千代田区内神田二丁目1-8,35.695339,139.751984,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d2024000004,ward_official_directory,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d0000000001,official_facility_exact
young_f0c6b2c9d2647b4f5f0005d6,131016,千代田区,Tplusサークル,community_exchange,organization_or_club,official_directory_candidate,unknown,,,公式名簿掲載。一般成人の参加条件は要確認,経済・金融,九段;スポーツセンター,東京都千代田区九段南一丁目5-10 | 東京都千代田区内神田二丁目1-8,35.695339,139.751984,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d2024000004,ward_official_directory,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d0000000001,official_facility_exact
young_e08664dddf86762520a28f48,131016,千代田区,おさんぽ神保町,community_exchange,organization_or_club,official_directory_candidate,unknown,,,公式名簿掲載。一般成人の参加条件は要確認,地域社会・コミュニティ,九段;スポーツセンター,東京都千代田区九段南一丁目5-10 | 東京都千代田区内神田二丁目1-8,35.695339,139.751984,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d2024000004,ward_official_directory,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d0000000001,official_facility_exact
young_ec8789ad4ee154442d12df70,131016,千代田区,ちよカレ ALL STARS,community_exchange,organization_or_club,official_directory_candidate,unknown,,,公式名簿掲載。一般成人の参加条件は要確認,地域社会・コミュニティ,九段;スポーツセンター,東京都千代田区九段南一丁目5-10 | 東京都千代田区内神田二丁目1-8,35.695339,139.751984,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d2024000004,ward_official_directory,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d0000000001,official_facility_exact
young_36331993cbe75f9070e49ab9,131016,千代田区,みらいのゴッホをさがせ!,community_exchange,organization_or_club,official_directory_candidate,unknown,,,公式名簿掲載。一般成人の参加条件は要確認,地域社会・コミュニティ,九段;スポーツセンター,東京都千代田区九段南一丁目5-10 | 東京都千代田区内神田二丁目1-8,35.695339,139.751984,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d2024000004,ward_official_directory,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d0000000001,official_facility_exact
young_b38114902445c9bb843de9af,131016,千代田区,よむきく会,community_exchange,organization_or_club,official_directory_candidate,unknown,,,公式名簿掲載。一般成人の参加条件は要確認,地域社会・コミュニティ,九段;スポーツセンター,東京都千代田区九段南一丁目5-10 | 東京都千代田区内神田二丁目1-8,35.695339,139.751984,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d2024000004,ward_official_directory,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d0000000001,official_facility_exact
young_ffb221666351ea942c18b27f,131016,千代田区,キャリコンスキルアップ同好会,community_exchange,organization_or_club,official_directory_candidate,unknown,,,公式名簿掲載。一般成人の参加条件は要確認,ライフスタイル,九段;スポーツセンター,東京都千代田区九段南一丁目5-10 | 東京都千代田区内神田二丁目1-8,35.695339,139.751984,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d2024000004,ward_official_directory,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d0000000001,official_facility_exact
young_df91877ddf4f0e26bc399681,131016,千代田区,クラシックバレエサークルBALLET,community_exchange,organization_or_club,official_directory_candidate,unknown,,,公式名簿掲載。一般成人の参加条件は要確認,舞踊,九段;スポーツセンター;その他区内施設,東京都千代田区九段南一丁目5-10 | 東京都千代田区内神田二丁目1-8,35.695339,139.751984,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d2024000004,ward_official_directory,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d0000000001,official_facility_partial
young_164d15463fd0b24f8e2bdac4,131016,千代田区,フランススタイルのグリーンモダンアレンジサークル,community_exchange,organization_or_club,official_directory_candidate,unknown,,,公式名簿掲載。一般成人の参加条件は要確認,住まい・インテリア,九段;スポーツセンター,東京都千代田区九段南一丁目5-10 | 東京都千代田区内神田二丁目1-8,35.695339,139.751984,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d2024000004,ward_official_directory,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d0000000001,official_facility_exact
young_49941ed57417f229681e58d7,131016,千代田区,九段1丁目町会友の会,community_exchange,organization_or_club,official_directory_candidate,unknown,,,公式名簿掲載。一般成人の参加条件は要確認,地域社会・コミュニティ,九段;スポーツセンター;その他区内施設,東京都千代田区九段南一丁目5-10 | 東京都千代田区内神田二丁目1-8,35.695339,139.751984,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d2024000004,ward_official_directory,2026-01-27T15:00:00,2026-08-23T08:47:26+00:00,https://catalog.data.metro.tokyo.lg.jp/dataset/t131016d0000000001,official_facility_partial
