ward_code,ward_name,community_count,mapped_count,exact_address_count,area_count,ward_fallback_count
131016,千代田区,562,528,453,75,34
131024,中央区,308,166,11,155,142
131032,港区,353,185,0,185,168
131041,新宿区,338,314,138,176,24
131059,文京区,649,558,557,1,91
131067,台東区,526,424,0,424,102
131075,墨田区,163,135,135,0,28
131083,江東区,460,425,158,267,35
131091,品川区,362,331,57,274,31
131105,目黒区,123,65,0,65,58
131113,大田区,931,227,0,227,704
131121,世田谷区,132,126,126,0,6
131130,渋谷区,190,148,56,92,42
131148,中野区,256,177,84,93,79
131156,杉並区,476,124,0,124,352
131164,豊島区,593,583,465,118,10
131172,北区,291,184,0,184,107
131181,荒川区,310,241,130,111,69
131199,板橋区,337,257,88,169,80
131202,練馬区,1463,445,257,188,1018
131211,足立区,448,351,0,351,97
131229,葛飾区,343,211,0,211,132
131237,江戸川区,462,385,191,194,77
